Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Profit Margin (%),Shipping Cost,Order Priority,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,2024-06-05,2024-06-11,CUST123,Thomas Brown,Corporate,PROD3286,Notebook,Office Supplies,North,North Carolina,Port Emily,9,396,15,3029.4,1846.52,1182.88,39.05,97,High,Cash,Delivered,Martin-Andrews,samantha17@davis.info,14,No,0
ORD1001,2025-07-01,2025-07-06,CUST120,Janice Patterson,Home Office,PROD8359,Cooking Oil,Grocery,East,Michigan,Robertsburgh,1,848,5,805.6,652.09,153.51,19.06,224,Medium,UPI,Delivered,"Cooper, Taylor and Rodriguez",hawkinscarl@palmer.net,9,Yes,26
ORD1002,2026-03-15,2026-03-16,CUST103,Jesse Allen,Corporate,PROD5333,Monitor,Electronics,North,New York,Beltranmouth,13,49823,15,550544.15,343341.39,207202.76,37.64,200,Low,UPI,Delivered,"King, Rodriguez and Ward",pbailey@lopez-underwood.com,39,No,0
ORD1003,2024-11-23,2024-11-28,CUST102,Shelley Howe,Consumer,PROD2307,Stapler,Office Supplies,South,New Mexico,Lisaville,9,493,10,3993.3,2590.84,1402.46,35.12,231,High,UPI,Delivered,Howard PLC,christopher27@wallace.com,42,No,0
ORD1004,2024-09-12,2024-09-18,CUST863,Joe Allen,Consumer,PROD5010,Calculator,Office Supplies,South,Utah,Riceshire,7,286,20,1601.6,1066.48,535.12,33.41,216,High,Cash,Delivered,Singleton-Mcgee,thomashubbard@johnson.com,14,No,0
ORD1005,2024-11-07,2024-11-14,CUST474,Kevin Rodriguez DDS,Consumer,PROD6155,Calculator,Office Supplies,South,New York,South Hannah,13,385,15,4254.25,2734.89,1519.36,35.71,121,High,UPI,Returned,Freeman-Gill,sydney87@cross-horton.com,47,No,0
ORD1006,2025-02-22,2025-02-28,CUST797,Sierra Anderson,Corporate,PROD3266,Keyboard,Electronics,West,Maine,Lunaberg,2,7957,5,15118.3,12663.45,2454.85,16.24,266,Low,Net Banking,Delivered,Pace-Mcguire,lambisaac@martin.com,4,Yes,32
ORD1007,2024-05-14,2024-05-19,CUST741,Brandi James MD,Corporate,PROD9797,Office Chair,Furniture,East,North Carolina,South Adrianton,2,14146,5,26877.4,19784.91,7092.49,26.39,419,Low,Credit Card,Delivered,"Mckay, Blackburn and Garcia",gbowen@bowman.com,16,No,0
ORD1008,2024-12-09,2024-12-14,CUST840,Dr. Mandy Sanders,Corporate,PROD7126,Notebook,Office Supplies,South,Iowa,Brownshire,11,326,15,3048.1,1846.67,1201.43,39.42,235,Medium,Cash,Delivered,"Campbell, Wilson and Green",oross@howard-boone.com,15,No,0
ORD1009,2025-03-15,2025-03-17,CUST280,Scott Wright,Consumer,PROD9727,Rice Bag,Grocery,South,Virginia,Westland,14,151,20,1691.2,1457.36,233.84,13.83,266,High,Credit Card,Delivered,Martinez-Nguyen,vvalenzuela@bauer.com,34,No,0
